Station ID,Station Name,Stop Type,Managed By,Request Stop,No. Of Platforms,Platforms Used,Stopped At,Passed Through (Stopped),Passed Through (Not Stopped)
ABD,Aberdeen,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AUR,Aberdour,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AAT,Achanalt,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
ACN,Achnasheen,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ACH,Achnashellach,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
ADW,Addiewell,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AIR,Airbles,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ADR,Airdrie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AXP,Alexandra Parade,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ALX,Alexandria,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ALO,Alloa,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ASS,Alness,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ABC,Altnabreac,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
AND,Anderston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ANN,Annan,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ANL,Anniesland,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ARB,Arbroath,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ARD,Ardgay,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AUI,Ardlui,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
ADS,Ardrossan Harbour,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ASB,Ardrossan South Beach,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ADN,Ardrossan Town,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AGS,Argyle Street,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ARG,Arisaig,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ARM,Armadale,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ART,Arrochar & Tarbet,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ASF,Ashfield,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ATT,Attadale,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
AUK,Auchinleck,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AVM,Aviemore,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
AYR,Ayr,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
